configuration,dataset,epoch,current_lambda_att_space,weighted_att_space_loss,total_loss,audio_backbone_grad_norm_weighted_att_space,audio_backbone_grad_norm_total,audio_backbone_grad_norm_ratio,audio_slot_branch_grad_norm_weighted_att_space,audio_slot_branch_grad_norm_total,audio_slot_branch_grad_norm_ratio,audio_query_projection_grad_norm_weighted_att_space,audio_query_projection_grad_norm_total,audio_query_projection_grad_norm_ratio,visual_backbone_grad_norm_weighted_att_space,visual_backbone_grad_norm_total,visual_backbone_grad_norm_ratio,visual_l4_key_projection_grad_norm_weighted_att_space,visual_l4_key_projection_grad_norm_total,visual_l4_key_projection_grad_norm_ratio,shared_slots_grad_norm_weighted_att_space,shared_slots_grad_norm_total,shared_slots_grad_norm_ratio,total_trainable_parameters_grad_norm_weighted_att_space,total_trainable_parameters_grad_norm_total,total_trainable_parameters_grad_norm_ratio,parameters_unchanged,buffers_unchanged,parameters_with_grad_after,rng_restored
EARLY_HIGH_LATE_LOW,vggss,1,100.0,0.0006203345838002861,7.42550802230835,0.002187368437928388,74.68811229964581,2.92867013314344e-05,0.005345667049428913,25.72752244085764,0.00020778009471053075,0.0037090054291196765,0.018193465067197625,0.20386470720209635,0.0094302617973927,19.644867010192712,0.0004800369375114294,0.0037542682296464462,0.3185600863651332,0.011785118068217509,3.043881610982578e-05,0.21572176379204397,0.00014110220301660306,0.011678916500129718,84.61888102772176,0.00013801785556941462,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,5,100.0,0.0015211481368169188,4.441175937652588,0.032600295069938556,348.68880458050944,9.349395404064748e-05,0.021171949587292627,23.63561886305215,0.000895764553911821,0.013689052698184443,0.7449424208721681,0.018375987612759544,0.07451024482927236,42.51209059599484,0.0017526836197580549,0.013928527122193085,1.2998449299986141,0.01071552983031385,0.00012948681412209426,0.21232372889893406,0.0006098555954766602,0.08518807613085894,352.56447721213954,0.0002416241046303728,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,10,100.0,0.001580847310833633,2.24519944190979,0.09330985449692228,303.04690462428454,0.00030790565114864604,0.03777159008247978,44.821376598713734,0.0008427137439496424,0.01845459385829074,1.6731180578920697,0.011030060772597427,0.07978378979658592,51.53137214695977,0.0015482566536177793,0.01811862104511138,1.39611432797171,0.012977892055173827,0.0003247120457006088,0.39693173881509913,0.0008180551312654034,0.12972242631279213,311.48261034456704,0.00041646763576718034,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,20,100.0,0.0018054075771942735,0.5003823041915894,0.16790061650444843,99.20005220975442,0.0016925456465428851,0.03388581443042168,9.765393703165374,0.0034699895836697698,0.01599435465974941,0.8754631587783891,0.018269591928973313,0.10820249825002226,13.121890362816364,0.008245953537047417,0.015910755891402048,0.48827649268053075,0.03258554554617796,0.0002689976835298439,0.07674315387832313,0.0035051684734359054,0.20322456673798892,100.77529533215167,0.0020166109766105492,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,21,95.5,0.0017459569498896599,0.45058226585388184,0.1425263628980847,14.787302059240941,0.009638429128389036,0.03844778777127649,1.3578439627145216,0.02831532107296454,0.01903411310867425,0.04847205269790004,0.39268221684175103,0.10301615319690004,2.29135903550183,0.044958538404826436,0.017832023217657207,0.07234063250886515,0.24650079214092355,0.00029845460427159324,0.010823827224443024,0.027573851471874113,0.1808954398062001,15.0612199190206,0.012010676477656223,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,25,77.5,0.0014044884592294693,0.42929238080978394,0.15153246557154645,9.563087911623391,0.015845558147316776,0.03630645150141124,0.9159606780470567,0.03963756564177135,0.017201071056320866,0.04776650040369972,0.3601074165070812,0.0959305252754491,1.4218246247062267,0.06747001255179591,0.01625800372774844,0.02795247360288831,0.5816302327349978,0.00030514804986036214,0.007766883357565931,0.03928835232523748,0.18370631723936046,9.745905672859298,0.018849589089594075,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,30,55.0,0.0014621505979448557,0.4241875410079956,0.14795785750047957,8.053529717725779,0.01837180251223345,0.03184316303185118,1.0640235909918476,0.029927121260665008,0.015082924181297861,0.04297936644315478,0.3509340743981383,0.1027355452342156,1.289887535046178,0.0796469013327259,0.013861922998685171,0.0327689981746275,0.4230194320983305,0.000246186809819573,0.008993470195314594,0.027373950704863304,0.1834470379921772,8.259894966121509,0.022209366916234992,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,35,32.5,0.0005935680237598717,0.42041707038879395,0.04861879503168768,7.584162129218946,0.006410569052100192,0.011530027984257033,0.23938483371991268,0.048165240065706674,0.005461437608376096,0.008857879834496197,0.6165626210563917,0.03899958167958859,0.3203816577489234,0.12172850953293352,0.004919461979161143,0.010160076140393149,0.4841953850246034,9.290877708741759e-05,0.0026938815550953455,0.034488812946210035,0.06357632066398682,7.5989225435288565,0.008366491472941676,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,40,10.0,0.000164735087309964,0.41095978021621704,0.014406436983464783,9.703874024040509,0.0014846067609464628,0.0030448776780829536,0.8590285420334104,0.003544559382010597,0.0014665668474754343,0.04818804826622457,0.03043424459406732,0.01117093723431619,1.4159036084035341,0.007889617038905497,0.0013286133154942646,0.025222030902871215,0.05267669842123387,2.387490626981094e-05,0.006343767575161235,0.003763521595515045,0.018530369239189295,9.8617441812797,0.0018790154052427304,True,True,0,True
EARLY_HIGH_LATE_LOW,vggss,41,10.0,0.00017465325072407722,0.40582236647605896,0.014542087700452613,4.2746601847830235,0.003401928357303412,0.0031307611463529325,0.17292179193764665,0.01810506999293495,0.0016852008051741125,0.008306496507398807,0.20287744700430366,0.009397435878955682,0.2027703134206732,0.046345225395066296,0.0014955488800079712,0.006492580023865785,0.23034739260512807,2.0682815762950245e-05,0.0020254684212327213,0.010211374088049762,0.017658605930811384,4.286943068541373,0.004119160354703656,True,True,0,True
