scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
10k,vggss,-0BIyqJj9ZU_000030,0,1,929,91z1LeIpLbk_000053,lions growling,2.246454641863238e-06,False,False
10k,vggss,-0BIyqJj9ZU_000030,0,2,4718,ro_xNfE2_8Q_000219,parrot talking,1.0699813174142037e-05,False,False
10k,vggss,-0BIyqJj9ZU_000030,0,3,1558,FgzVC4jxtxg_000100,playing clarinet,1.1897130207216833e-05,False,True
10k,vggss,-0BIyqJj9ZU_000030,0,4,3497,bkzGHRpx5MM_000030,playing bass guitar,1.4067488336877432e-05,False,False
10k,vggss,-0UuUoXQUoI_000107,1,1,4392,nMOlAg-Kjf8_000017,playing trombone,2.2132267986307852e-05,False,False
10k,vggss,-0UuUoXQUoI_000107,1,2,227,1ACn3u5UnBw_000030,male singing,2.653854971867986e-05,False,False
10k,vggss,-0UuUoXQUoI_000107,1,3,1735,HajY_r6RNy0_000090,playing accordion,2.750043677224312e-05,False,False
10k,vggss,-0UuUoXQUoI_000107,1,4,1414,DjqOjkoVu3M_000153,alarm clock ringing,2.8959921110072173e-05,False,True
10k,vggss,-2-wdcN5vOw_000017,2,1,2734,Ta9R_TuzIUM_000153,driving snowmobile,7.371254469035193e-06,False,True
10k,vggss,-2-wdcN5vOw_000017,2,2,3009,WsG_Mg0VDn8_000025,car engine starting,7.407999873976223e-06,False,False
10k,vggss,-2-wdcN5vOw_000017,2,3,2250,NSEzNYgLuAs_000077,children shouting,8.000196430657525e-06,False,False
10k,vggss,-2-wdcN5vOw_000017,2,4,614,5JaMY3ZmbXM_000188,tractor digging,8.078544851741754e-06,False,False
10k,vggss,-23CeprtibU_000030,3,1,3450,b4glNhNvMYU_000340,playing flute,1.880501804407686e-05,False,False
10k,vggss,-23CeprtibU_000030,3,2,1214,BiRPlINV5N4_000023,dog baying,2.0865189071628265e-05,False,False
10k,vggss,-23CeprtibU_000030,3,3,4818,tgRjq29TIJo_000010,baby crying,2.4512204618076794e-05,False,False
10k,vggss,-23CeprtibU_000030,3,4,4252,laSDlOFM5vc_000025,canary calling,2.5843983166851103e-05,False,False
10k,vggss,-2Dm0VjW8oM_000001,4,1,2932,W1imZelV1h4_000017,pheasant crowing,9.249954018741846e-06,False,True
10k,vggss,-2Dm0VjW8oM_000001,4,2,686,6DXkv8hTM0k_000003,francolin calling,1.3515172213374171e-05,False,False
10k,vggss,-2Dm0VjW8oM_000001,4,3,1713,HOhpKjQWqxc_000030,people belly laughing,1.5688763596699573e-05,False,False
10k,vggss,-2Dm0VjW8oM_000001,4,4,3332,_qL20ImF8bE_000014,people giggling,1.606620935490355e-05,False,False
10k,vggss,-2sOH8XovEE_000484,5,1,802,7SKRc8oyLvE_000009,train wheels squealing,7.837660632503685e-06,False,False
10k,vggss,-2sOH8XovEE_000484,5,2,499,42vB40Fkdis_000076,airplane flyby,9.309556844527833e-06,False,False
10k,vggss,-2sOH8XovEE_000484,5,3,973,9WtDINM2mNc_000237,car engine idling,1.006958063953789e-05,False,False
10k,vggss,-2sOH8XovEE_000484,5,4,322,2ACsPTob5cY_000349,snake rattling,1.4100430234975647e-05,False,True
10k,vggss,-3Kv4fdm7Uk_000030,6,1,2413,PX9kGT0E7B0_000030,dog barking,2.5503664801362902e-05,False,True
10k,vggss,-3Kv4fdm7Uk_000030,6,2,1488,EUXUKCqUKyo_000005,playing shofar,2.56253970292164e-05,False,False
10k,vggss,-3Kv4fdm7Uk_000030,6,3,650,5jrESZzRxq4_000017,child singing,3.956575528718531e-05,False,False
10k,vggss,-3Kv4fdm7Uk_000030,6,4,4596,qIKzxOrcrhE_000016,baby laughter,4.260751302354038e-05,False,False
10k,vggss,-4bPiXbovf0_000008,7,1,4154,kKqIgmARIoA_000030,owl hooting,7.4495696935628075e-06,False,False
10k,vggss,-4bPiXbovf0_000008,7,2,94,-u-40BIU1HE_000003,cat hissing,8.417444405495189e-06,False,False
10k,vggss,-4bPiXbovf0_000008,7,3,3972,hYk2rw9wcXc_000070,"male speech, man speaking",1.0309066965419333e-05,False,False
10k,vggss,-4bPiXbovf0_000008,7,4,1879,J6iYFxXuHrI_000654,disc scratching,1.0378233127994463e-05,False,False
10k,vggss,-5CGQGSFGyg_000060,8,1,3836,fwFuuaK8WqE_000332,playing cornet,6.8257136263127904e-06,False,True
10k,vggss,-5CGQGSFGyg_000060,8,2,169,0apGJGFHQO4_000067,"playing violin, fiddle",9.290874004364014e-06,False,False
10k,vggss,-5CGQGSFGyg_000060,8,3,3900,gd2-qjVH_DI_000032,playing timbales,9.612863323127385e-06,False,True
10k,vggss,-5CGQGSFGyg_000060,8,4,3102,Y3yXAMiFgyI_000030,playing harpsichord,1.167338814411778e-05,False,False
10k,vggss,-5z9IXBJefc_000227,9,1,3977,ha8lvNZ7n7c_000046,playing oboe,5.207314188737655e-06,False,False
10k,vggss,-5z9IXBJefc_000227,9,2,1264,CK7_1E8cNMM_000043,playing tympani,7.80326263338793e-06,False,False
10k,vggss,-5z9IXBJefc_000227,9,3,3662,dpTKSxH3asA_000030,playing electronic organ,1.010735741147073e-05,False,False
10k,vggss,-5z9IXBJefc_000227,9,4,4015,iCIa_pmLDqs_000030,playing banjo,1.1270211871305946e-05,False,False
10k,vggss,-79qo5MUYBk_000207,10,1,3446,b-5nX20MGoE_000058,lathe spinning,7.771146556478925e-06,False,False
10k,vggss,-79qo5MUYBk_000207,10,2,373,2es7oZzwLWM_000030,playing zither,9.245693945558742e-06,False,False
10k,vggss,-79qo5MUYBk_000207,10,3,2096,LhRNnXaSsCk_000030,driving buses,9.417759429197758e-06,False,False
10k,vggss,-79qo5MUYBk_000207,10,4,2498,QaKdsbkkmUc_000288,"electric shaver, electric razor shaving",1.4535947229887825e-05,False,True
10k,vggss,-7TanrCbmME_000030,11,1,788,7IUnipVNZoo_000112,beat boxing,6.455592483689543e-06,False,False
10k,vggss,-7TanrCbmME_000030,11,2,4736,s5YKy0zJOIk_000040,people sneezing,6.8726794779649936e-06,False,False
