scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
144k,flickr,10000130166,0,1,38,10409146004,_,1.3665902542925323e-06,True,False
144k,flickr,10000130166,0,2,172,3403348616,_,1.6392182260460686e-06,True,False
144k,flickr,10000130166,0,3,145,2462141223,_,1.969799541257089e-06,True,False
144k,flickr,10000130166,0,4,212,5220919991,_,2.135913518941379e-06,True,False
144k,flickr,10007936344,1,1,38,10409146004,_,9.396848327014595e-06,True,False
144k,flickr,10007936344,1,2,246,9309351423,_,9.564621905155946e-06,True,False
144k,flickr,10007936344,1,3,228,6185482260,_,1.2026949661958497e-05,True,False
144k,flickr,10007936344,1,4,149,2542659118,_,1.2408112525008619e-05,True,False
144k,flickr,10008553263,2,1,22,10129813456,_,4.56372936241678e-06,True,False
144k,flickr,10008553263,2,2,126,15210828119,_,5.375243745220359e-06,True,True
144k,flickr,10008553263,2,3,1,10007936344,_,5.449940999824321e-06,True,False
144k,flickr,10008553263,2,4,28,10234680056,_,5.75304056837922e-06,True,False
144k,flickr,10009662863,3,1,200,4717096777,_,8.795111170911696e-06,True,True
144k,flickr,10009662863,3,2,214,5303633386,_,1.0052141078631394e-05,True,False
144k,flickr,10009662863,3,3,134,16563757295,_,1.0585631571302656e-05,True,False
144k,flickr,10009662863,3,4,225,6067281197,_,1.2415051969583146e-05,True,False
144k,flickr,10013411946,4,1,205,4938432980,_,5.750946911575738e-06,True,False
144k,flickr,10013411946,4,2,6,10031203703,_,5.765857622463955e-06,True,False
144k,flickr,10013411946,4,3,103,12729873904,_,8.01341411715839e-06,True,False
144k,flickr,10013411946,4,4,52,10545790805,_,8.882299880497158e-06,True,False
144k,flickr,10016382545,5,1,24,10165890496,_,7.092804480635095e-06,True,False
144k,flickr,10016382545,5,2,216,5480070309,_,8.853367944539059e-06,True,False
144k,flickr,10016382545,5,3,64,10701841844,_,1.1287072084087413e-05,True,True
144k,flickr,10016382545,5,4,85,11314266424,_,1.3362508070713375e-05,True,False
144k,flickr,10031203703,6,1,246,9309351423,_,4.7665248530393e-06,True,False
144k,flickr,10031203703,6,2,231,6669466181,_,8.789244020590559e-06,True,False
144k,flickr,10031203703,6,3,10,10061269855,_,8.84070777829038e-06,True,False
144k,flickr,10031203703,6,4,176,3535748358,_,1.1342287507432047e-05,True,False
