scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
10k,vggss,0,-0BIyqJj9ZU_000030,people belly laughing,1.957030690391548e-05,2.9729637390119024e-05,1.1897130207216833e-05,2.246454641863238e-06,3.012435081473086e-05,1.563078876642976e-05,1.41886912388145e-05,2.0359890186227858e-05,9.727721590024885e-06,2.246454641863238e-06,4.484813871385995e-06,2.000191670958884e-05,9.650675565353595e-06,0.21875,0.25,False,0.32720619440078735,"[929, 4718, 1558, 3497]","[""91z1LeIpLbk_000053"", ""ro_xNfE2_8Q_000219"", ""FgzVC4jxtxg_000100"", ""bkzGHRpx5MM_000030""]","[""lions growling"", ""parrot talking"", ""playing clarinet"", ""playing bass guitar""]"
10k,vggss,1,-0UuUoXQUoI_000107,playing double bass,7.728117634542286e-05,9.677065099822357e-05,2.8959921110072173e-05,2.2132267986307852e-05,8.926235022954643e-05,4.5174590923124924e-05,2.9152944989618845e-05,5.209443042986095e-05,2.62827925325837e-05,2.2132267986307852e-05,2.546661562519148e-06,7.048786210361868e-05,6.827653123764321e-06,0.40625,0.5,False,0.27159878611564636,"[4392, 227, 1735, 1414]","[""nMOlAg-Kjf8_000017"", ""1ACn3u5UnBw_000030"", ""HajY_r6RNy0_000090"", ""DjqOjkoVu3M_000153""]","[""playing trombone"", ""male singing"", ""playing accordion"", ""alarm clock ringing""]"
10k,vggss,2,-2-wdcN5vOw_000017,train whistling,5.6504445637983736e-06,1.3890283298678696e-05,7.371254469035193e-06,7.371254469035193e-06,2.075403244816698e-05,9.822810170589946e-06,8.140299541992135e-06,1.4036353604751639e-05,7.7144995884737e-06,7.371254469035193e-06,3.263092480665364e-07,6.175783710204996e-06,0.0,0.0,0.0,False,0.5553882122039795,"[2734, 3009, 2250, 614]","[""Ta9R_TuzIUM_000153"", ""WsG_Mg0VDn8_000025"", ""NSEzNYgLuAs_000077"", ""5JaMY3ZmbXM_000188""]","[""driving snowmobile"", ""car engine starting"", ""children shouting"", ""tractor digging""]"
10k,vggss,3,-23CeprtibU_000030,chainsawing trees,9.650499123381451e-05,8.894386701285839e-05,2.742477590800263e-05,1.880501804407686e-05,8.034080383367836e-05,5.588470958173275e-05,2.5871207981253974e-05,3.147239112877287e-05,2.2506599634652957e-05,1.880501804407686e-05,2.8087592909287196e-06,6.643726374022663e-05,8.61975786392577e-06,0.6875,0.75,False,0.25304272770881653,"[3450, 1214, 4818, 4252]","[""b4glNhNvMYU_000340"", ""BiRPlINV5N4_000023"", ""tgRjq29TIJo_000010"", ""laSDlOFM5vc_000025""]","[""playing flute"", ""dog baying"", ""baby crying"", ""canary calling""]"
10k,vggss,4,-2Dm0VjW8oM_000001,"pigeon, dove cooing",2.325379682588391e-05,2.1757121430709958e-05,9.249954018741846e-06,9.249954018741846e-06,4.446585808182135e-05,2.95300214929739e-05,1.606939622433856e-05,2.3540136680821888e-05,1.3630024113808759e-05,9.249954018741846e-06,2.7097792099084472e-06,8.1270973169012e-06,0.0,0.25,0.5,False,0.6264626383781433,"[2932, 686, 1713, 3332]","[""W1imZelV1h4_000017"", ""6DXkv8hTM0k_000003"", ""HOhpKjQWqxc_000030"", ""_qL20ImF8bE_000014""]","[""pheasant crowing"", ""francolin calling"", ""people belly laughing"", ""people giggling""]"
10k,vggss,5,-2sOH8XovEE_000484,playing table tennis,7.403531981253764e-06,8.813825115794316e-05,1.4100430234975647e-05,7.837660632503685e-06,6.860926077933982e-05,6.373699579853565e-05,1.4272355656430591e-05,2.0037699869135395e-05,1.0329306860512588e-05,7.837660632503685e-06,2.3203997443488333e-06,7.780894520692527e-05,6.2627696024719626e-06,0.0,0.0,False,0.11719436943531036,"[802, 499, 973, 322]","[""7SKRc8oyLvE_000009"", ""42vB40Fkdis_000076"", ""9WtDINM2mNc_000237"", ""2ACsPTob5cY_000349""]","[""train wheels squealing"", ""airplane flyby"", ""car engine idling"", ""snake rattling""]"
10k,vggss,6,-3Kv4fdm7Uk_000030,playing steelpan,0.00010571067832643166,0.00011566946341190487,2.5503664801362902e-05,2.5503664801362902e-05,9.306017454946414e-05,4.321464439271949e-05,4.262787479092367e-05,5.7920944527722895e-05,3.3325581171084195e-05,2.5503664801362902e-05,7.83532414061483e-06,8.234388224082068e-05,0.0,0.65625,0.25,False,0.2881104648113251,"[2413, 1488, 650, 4596]","[""PX9kGT0E7B0_000030"", ""EUXUKCqUKyo_000005"", ""5jrESZzRxq4_000017"", ""qIKzxOrcrhE_000016""]","[""dog barking"", ""playing shofar"", ""child singing"", ""baby laughter""]"
10k,vggss,7,-4bPiXbovf0_000008,air conditioning noise,3.958952220273204e-05,3.844008097075857e-05,3.075348649872467e-05,7.4495696935628075e-06,3.357337845955044e-05,1.626432094781194e-05,1.0758318239822984e-05,2.268631760671269e-05,9.138578207057435e-06,7.4495696935628075e-06,1.2529536661531893e-06,2.930150367319584e-05,2.3303917259909213e-05,0.71875,0.75,False,0.23773565888404846,"[4154, 94, 3972, 1879]","[""kKqIgmARIoA_000030"", ""-u-40BIU1HE_000003"", ""hYk2rw9wcXc_000070"", ""J6iYFxXuHrI_000654""]","[""owl hooting"", ""cat hissing"", ""male speech, man speaking"", ""disc scratching""]"
10k,vggss,8,-5CGQGSFGyg_000060,playing electronic organ,1.1207956049474888e-05,4.233926665619947e-05,6.8257136263127904e-06,6.8257136263127904e-06,5.477631202666089e-05,3.55209231202025e-05,1.1785812603193335e-05,2.5624342015362345e-05,9.350709660793655e-06,6.8257136263127904e-06,1.7206644997713738e-06,3.298855881439522e-05,0.0,0.09375,0.5,False,0.22085195779800415,"[3836, 169, 3900, 3102]","[""fwFuuaK8WqE_000332"", ""0apGJGFHQO4_000067"", ""gd2-qjVH_DI_000032"", ""Y3yXAMiFgyI_000030""]","[""playing cornet"", ""playing violin, fiddle"", ""playing timbales"", ""playing harpsichord""]"
10k,vggss,9,-5z9IXBJefc_000227,playing djembe,1.5340101526817307e-05,3.3728385460563004e-05,1.2813035027647857e-05,5.207314188737655e-06,3.985510556958616e-05,3.001208824571222e-05,1.1345970051479526e-05,1.5594334399793297e-05,8.597035957791377e-06,5.207314188737655e-06,2.3209497612697305e-06,2.513135041226633e-05,7.6057208389102016e-06,0.21875,0.25,False,0.25489023327827454,"[3977, 1264, 3662, 4015]","[""ha8lvNZ7n7c_000046"", ""CK7_1E8cNMM_000043"", ""dpTKSxH3asA_000030"", ""iCIa_pmLDqs_000030""]","[""playing oboe"", ""playing tympani"", ""playing electronic organ"", ""playing banjo""]"
